module_color,kME_mean,kME_median,kWithin_mean,module_size
black,0.7719908424599866,0.8443607110621707,10.707488985359682,540
brown,0.838566823970797,0.8833342953541727,15.868131204133517,393
antiquewhite4,0.806450027492019,0.836072368940366,5.68695947600824,212
grey,0.14082180646483297,0.4972260212242958,0.018383796714274547,48
coral1,0.749532697751945,0.8027236240553243,0.2863534811383268,9
ivory,0.9127925361959462,0.9133680373303815,0.3889617759795278,4
lightcyan1,0.8688958884395974,0.883639227691009,0.23337992426692902,4
plum2,0.949578571321911,0.9425511534190001,0.4238512750818235,3
salmon4,0.9171423572636418,0.9265213116810307,0.18340873797199916,3
thistle2,0.94737302009576,0.9470051544670455,0.23489785033775423,3
