,module_color,kME_in_own_module,kWithin
Gene.1,yellow,0.6608389365833611,107.07216885271636
Gene.2,blue,0.8702191557062117,155.3476431060012
Gene.3,yellow,0.7690509542401506,131.07714634978714
Gene.4,blue,0.9471430834224581,168.7252542463253
Gene.5,turquoise,0.6528618327787363,164.10715915352475
Gene.6,yellow,0.7419560950978846,141.3137991957169
Gene.7,blue,0.931253256930304,152.7483344346939
Gene.8,yellow,0.7572461554821273,135.35026683176466
Gene.9,brown,0.8609256903342996,161.69158972523027
Gene.10,turquoise,0.6121683620939026,147.57355109500637
Gene.11,turquoise,0.7219769345816736,156.71227176515032
Gene.12,brown,0.5575718397008218,118.30448802968203
Gene.13,turquoise,0.8899833111489557,116.65427978219746
Gene.14,brown,0.744579676121536,144.34429752123663
Gene.15,brown,0.9019422345311756,173.9517172983945
Gene.16,turquoise,0.5436364734053143,139.27015060453672
Gene.17,brown,0.9390556398012058,161.3782533869075
Gene.18,turquoise,0.9560338269134988,167.491461247532
Gene.19,blue,0.5582429867977079,129.47365945822918
Gene.20,yellow,0.8563359681428495,142.01543253372276
Gene.21,yellow,0.8257079875248552,144.0125860488557
Gene.22,brown,0.48880912712253666,134.1262433448727
Gene.23,blue,0.5250075481289772,107.0501943410696
Gene.24,brown,0.9183065647540543,165.45555741640501
Gene.25,yellow,0.8721510908024483,85.3433704680432
Gene.26,red,0.7137163531265988,16.98246833332663
Gene.27,black,0.6357466723950572,8.888262710002815
Gene.28,brown,0.9775270337495011,124.105184039914
Gene.29,brown,0.9240573482819889,164.46915871470827
Gene.30,brown,0.9292182614101562,180.9123367455808
Gene.31,brown,0.9902471658624692,109.4836850290397
Gene.32,turquoise,0.9712873453895654,132.0365993442905
Gene.33,turquoise,0.29215178828472277,100.90087642303048
Gene.34,brown,0.9131853773902864,88.32208773049992
Gene.35,yellow,0.9504968527556623,145.61845584581766
Gene.36,yellow,0.6945868340244598,125.31793936474354
Gene.37,blue,0.9136022347765496,128.09619104735194
Gene.38,blue,0.9015755149611984,139.33463407052477
Gene.39,blue,0.9076309403014224,140.97057328836777
Gene.40,brown,0.954574128956367,150.2741211599755
Gene.41,brown,0.8630399410107545,163.35427490076972
