ROI_ID,hyperedge_0,hyperedge_1,hyperedge_2,hyperedge_3,hyperedge_4,hyperedge_5
ROI_0,0,0,1,1,0,0
ROI_1,0,0,1,1,0,0
ROI_2,1,0,1,0,0,0
ROI_3,1,0,1,0,0,0
ROI_4,1,0,1,0,0,0
ROI_5,1,0,1,0,0,0
ROI_6,1,0,1,0,0,0
ROI_7,1,0,1,0,0,0
ROI_8,1,0,1,0,0,0
ROI_9,1,0,0,0,0,1
ROI_10,1,0,1,0,0,0
ROI_11,0,0,1,0,0,0
ROI_12,1,1,1,0,0,0
ROI_13,1,1,1,1,0,0
ROI_14,1,0,1,0,0,0
ROI_15,0,0,1,0,0,0
ROI_16,1,0,1,0,0,0
ROI_17,1,0,1,0,0,0
ROI_18,0,0,1,0,0,0
ROI_19,0,0,0,0,0,0
ROI_20,1,0,0,0,0,1
ROI_21,1,0,0,0,0,1
ROI_22,1,0,0,0,0,1
ROI_23,1,0,1,0,0,1
ROI_24,1,0,1,0,0,0
ROI_25,1,0,1,0,0,0
ROI_26,1,0,1,0,0,1
ROI_27,1,0,1,0,0,1
ROI_28,1,0,1,0,0,1
ROI_29,1,0,1,0,0,0
ROI_30,0,0,0,0,0,1
ROI_31,0,0,0,0,0,1
ROI_32,0,0,0,0,0,0
ROI_33,0,0,0,0,0,0
ROI_34,0,0,0,1,0,0
ROI_35,0,0,0,1,0,1
ROI_36,1,0,0,0,0,1
ROI_37,0,0,0,0,0,1
ROI_38,0,0,0,0,0,1
ROI_39,0,0,0,0,0,1
ROI_40,0,0,0,0,0,1
ROI_41,0,0,0,0,0,1
ROI_42,0,1,0,1,0,0
ROI_43,0,0,0,1,0,0
ROI_44,0,0,0,1,0,0
ROI_45,0,0,0,1,0,0
ROI_46,0,1,0,1,0,0
ROI_47,0,0,0,1,0,0
ROI_48,0,0,0,1,0,0
ROI_49,0,0,0,1,0,0
ROI_50,0,0,0,1,0,0
ROI_51,0,0,0,1,0,0
ROI_52,0,0,0,1,0,0
ROI_53,0,1,0,1,0,0
ROI_54,0,0,0,0,0,1
ROI_55,0,0,0,0,0,0
ROI_56,0,0,0,1,0,0
ROI_57,0,0,0,1,0,0
ROI_58,0,0,0,1,0,0
ROI_59,0,0,1,1,0,0
ROI_60,0,0,1,1,0,0
ROI_61,0,0,0,1,0,0
ROI_62,0,0,0,0,0,0
ROI_63,0,0,0,0,0,0
ROI_64,0,0,1,0,0,0
ROI_65,0,0,1,1,0,0
ROI_66,0,0,0,1,0,0
ROI_67,0,0,0,1,0,0
ROI_68,0,0,0,1,0,0
ROI_69,0,0,0,1,0,0
ROI_70,0,0,0,0,1,1
ROI_71,0,0,0,0,0,1
ROI_72,0,0,0,0,1,1
ROI_73,0,0,0,0,0,1
ROI_74,0,0,0,0,1,1
ROI_75,0,0,0,0,1,1
ROI_76,0,0,0,0,0,0
ROI_77,0,1,1,0,0,0
ROI_78,0,0,0,1,0,0
ROI_79,0,0,0,1,0,0
ROI_80,0,0,0,0,0,0
ROI_81,0,0,0,0,0,0
ROI_82,1,0,0,0,0,1
ROI_83,1,0,0,0,0,1
ROI_84,0,0,0,0,0,0
ROI_85,0,0,0,0,0,0
ROI_86,0,0,0,0,0,1
ROI_87,1,0,0,0,0,1
ROI_88,1,0,0,0,0,0
ROI_89,1,0,0,0,0,0
ROI_90,0,1,0,0,1,0
ROI_91,0,1,0,0,1,0
ROI_92,0,1,0,0,1,0
ROI_93,0,1,0,0,1,0
ROI_94,0,1,0,0,1,0
ROI_95,0,1,0,0,1,0
ROI_96,0,1,0,0,1,0
ROI_97,0,1,0,0,1,0
ROI_98,0,1,0,0,1,0
ROI_99,0,1,0,0,1,0
ROI_100,0,1,0,0,1,0
ROI_101,0,1,0,0,1,0
ROI_102,0,1,0,0,1,0
ROI_103,0,1,0,0,1,0
ROI_104,0,1,0,0,1,0
ROI_105,0,1,0,0,1,0
ROI_106,0,1,0,0,1,0
ROI_107,0,1,0,0,1,0
ROI_108,0,1,0,0,1,0
ROI_109,0,1,0,0,1,0
ROI_110,0,1,0,0,1,0
ROI_111,0,1,0,0,1,0
ROI_112,0,1,0,0,1,0
ROI_113,0,0,0,0,1,1
ROI_114,0,0,0,0,1,1
ROI_115,0,1,0,0,1,0
