,module_color,kME_in_own_module,kWithin
Gene.1,darkgreen,0.9179318750802432,1.1528568786735973
Gene.2,blue,0.7769630237547512,10.152429959852551
Gene.3,blue,0.8129429206398011,2.9952695406098355
Gene.4,grey,0.9278469980833604,0.006358997253248483
Gene.5,grey,0.9123432215227145,0.010467646028932793
Gene.6,black,0.6547768061408957,4.6156843527456175
Gene.7,darkmagenta,0.9696634574336668,2.622933455095116
Gene.8,darkmagenta,0.9407445141355469,15.129751461809303
Gene.9,darkmagenta,0.7917654429357232,9.154852842493245
Gene.10,grey,0.899690280901345,0.00862862682729669
Gene.11,black,0.8223104349623689,10.297123382124342
Gene.12,blue,0.6570391797119282,0.5279446360302877
Gene.13,darkmagenta,0.9019360094130773,0.17471138695618232
Gene.14,darkmagenta,0.906585005106682,16.16077206237591
Gene.15,darkgreen,0.7650718380993407,8.064720613375417
Gene.16,darkgreen,0.7232073823961693,7.780430477907031
Gene.17,darkgreen,0.8185771927639367,9.479339625994884
Gene.18,darkmagenta,0.795767086511817,4.2059561961105
Gene.19,grey,-0.012641646558979515,0.01289479600405209
Gene.20,blue,0.8989912127546935,3.5077748989597906
Gene.21,blue,0.8269238329889322,15.086630432929153
Gene.22,grey,0.0024235334365555437,0.056078170129140736
Gene.23,darkgreen,0.7604622881192397,2.3545451289002988
Gene.24,darkmagenta,0.6853944530304377,0.5602880570749114
Gene.25,black,0.8061975942084175,5.076185156888867
Gene.26,darkgreen,0.553004325416637,1.7643063982599705
Gene.27,darkmagenta,0.9476399905952707,0.3457585839091734
Gene.28,grey,-0.9001836670575029,0.010986966609693883
Gene.29,darkgreen,0.8193855308260141,9.127291634836698
Gene.30,blue,0.9537911319870255,0.2900736649994777
Gene.31,darkmagenta,0.528717420884482,3.052838418090321
Gene.32,blue,0.9649582125638663,0.4850300760465741
Gene.33,blue,0.8878726008362915,11.717888281602503
Gene.34,black,0.5902856511012677,4.429089799931349
Gene.35,black,0.8914258983220383,3.669801751395654
Gene.36,blue,0.3799270103661631,0.7907669580563782
Gene.37,blue,0.9323385367197198,15.195281946663203
Gene.38,darkmagenta,0.7176444020673521,4.474992587800428
Gene.39,blue,0.9385014571219705,35.92665602198512
Gene.40,darkmagenta,0.8784162818621754,0.29895356720819416
Gene.41,grey,-0.2550822019137472,0.001782725107808801
Gene.42,darkgreen,0.8211225323148561,0.23668759942274215
Gene.43,darkgreen,0.9410649436104193,3.774000871352763
Gene.44,darkgreen,0.7860086337671021,1.6152285149038044
Gene.45,black,0.6835151009682745,4.1072827912828185
Gene.46,grey,-0.9150356360883739,0.18211429942947827
Gene.47,grey,0.016830090188467234,0.10012497255842957
Gene.48,darkmagenta,0.8968324610647378,17.303836554840384
Gene.49,darkgreen,0.4728480767538985,1.6713252341035552
Gene.50,blue,0.9470630174517555,12.260227911502925
Gene.51,grey,-0.14322387185301239,0.02383619192303742
Gene.52,black,0.8142487786081775,1.3292359077405271
Gene.53,black,0.47767557493729124,0.8850340799924522
Gene.54,black,0.7242187701022564,4.485712814213056
Gene.55,grey,-0.9260781552898332,0.3494684615945496
Gene.56,blue,0.873688109571061,15.812238138189196
Gene.57,grey,0.8150465594154698,0.10285525878805403
Gene.58,darkmagenta,0.903498735420092,0.531590769175962
Gene.59,black,0.7846851787361043,1.7558943177250521
Gene.60,black,0.5436389148300461,2.111730903153101
Gene.61,blue,0.9779296725567888,1.0661582737023354
Gene.62,darkmagenta,0.9225079475890591,7.408264120169421
Gene.63,black,0.7833573707109421,2.7902877886783557
Gene.64,black,0.7783637172855792,1.6479744598831252
Gene.65,blue,0.8953822516820287,12.364242064341418
Gene.66,darkgreen,0.9359149768853602,0.3154857445631876
Gene.67,darkgreen,0.9387195017575997,6.244486191511166
Gene.68,grey,-0.039283131197882855,0.035649256764407264
Gene.69,darkgreen,0.5985344252091125,1.4006471598058639
Gene.70,grey,-0.9313162486174784,0.010617252257128893
Gene.71,grey,0.9309557414515595,0.019786274549910384
Gene.72,darkmagenta,0.8152250867645037,2.370290938722176
Gene.73,black,0.9060661713331916,0.9669779215328564
Gene.74,grey,0.9187398312336219,0.005895282487686255
Gene.75,darkgreen,0.8975498567408287,6.633854250384038
Gene.76,black,0.9332110621923827,10.487419752001745
Gene.77,blue,0.8708124622725759,6.14521756711291
Gene.78,darkgreen,0.9700130940235319,1.630807661541555
Gene.79,grey,0.9475549642955151,0.07185965448297778
Gene.80,black,0.8042221355446785,2.712794940477725
Gene.81,darkmagenta,0.635968268269513,2.20225715204154
Gene.82,darkgreen,0.8465933607430005,3.7749300732097373
Gene.83,black,0.8807122204056134,2.5578757411593585
Gene.84,darkmagenta,0.7620887612954899,8.808737681435558
Gene.85,grey,-0.9253789238457584,0.14563201693587163
Gene.86,darkmagenta,0.9409395715883356,5.063544456245219
Gene.87,darkgreen,0.8978174436899875,7.056755501285389
Gene.88,black,0.8269946340553962,2.530703533738057
Gene.89,black,0.8670695323165349,0.46295793596789075
Gene.90,darkgreen,0.8593594789565119,2.591942272006287
Gene.91,black,0.744945840785177,0.9985832310814232
Gene.92,grey,0.08750831847801685,0.0557123096166802
Gene.93,darkgreen,0.8890138609956346,3.4671511849670096
Gene.94,darkmagenta,0.7239306679209667,1.6067757125751347
Gene.95,darkmagenta,0.7082716415723466,1.0181750754741918
Gene.96,blue,0.9065761844649377,27.835417657517855
Gene.97,grey,-0.10970424353862683,0.002577017529181863
Gene.98,blue,0.8346206837077442,12.929910858416656
Gene.99,grey,-0.9769400887946122,0.0061897907126365415
Gene.100,darkgreen,0.9617112453477493,11.83403396668534
Gene.101,grey,-0.9413947267084934,0.0006683305730069864
Gene.102,darkmagenta,0.7532851237706032,4.969985687983409
Gene.103,darkmagenta,0.8284176492228409,4.302486328889147
Gene.104,black,0.7894336198857381,6.4147119107544475
Gene.105,grey,-0.948844050855871,0.0027374698819769487
Gene.106,darkgreen,0.6797286617107767,3.44598982662889
Gene.107,blue,0.9629479355833723,32.111478319356706
Gene.108,blue,0.48050580722577263,1.985474323282407
Gene.109,blue,0.6873107543827933,3.9581362756651717
Gene.110,darkmagenta,0.6852080823955468,0.1931508574691857
Gene.111,blue,0.6107921721342884,3.081360787261821
Gene.112,darkgreen,0.6735109316712047,3.241538859507475
Gene.113,darkgreen,0.9512258904281148,8.434197958895123
Gene.114,darkmagenta,0.7908827059268714,2.438623586838276
Gene.115,darkgreen,0.7588568459348966,0.5008339562425167
Gene.116,darkmagenta,0.7549544496299717,3.346100360851682
Gene.117,blue,0.3549105259222216,0.8173566305388679
Gene.118,blue,0.9426099764575921,13.285853847315948
Gene.119,darkgreen,0.8440563672727033,9.926095495541233
Gene.120,darkmagenta,0.699052715101069,0.6831010497058106
Gene.121,grey,-0.9417598344866471,0.010509368560039414
Gene.122,grey,-0.9323891095955799,0.0019568278333623925
Gene.123,darkolivegreen,0.7849737766154725,0.13398383530276878
Gene.124,grey,0.9482264317043037,0.016585738998742328
Gene.125,blue,0.9269907174370837,5.193707830675228
Gene.126,darkgreen,0.8646942250226005,3.1057346850933536
Gene.127,darkolivegreen,0.9373050483069039,2.5010588591209566
Gene.128,darkgreen,0.8619322054662926,16.41700992273263
Gene.129,grey,-0.24732251160006405,0.018400391587431373
Gene.130,grey,0.08529544512180698,0.004749795149950206
Gene.131,darkmagenta,0.5624020993311809,1.2998891450002412
Gene.132,blue,0.8147501826434695,1.808039642501605
Gene.133,blue,0.7380984839676864,10.965200134775039
Gene.134,grey,-0.908800856182423,0.3171010035698793
Gene.135,darkgreen,0.7076722666332592,3.3881221494098965
Gene.136,grey,-0.9138463988801351,0.46552925012529095
Gene.137,darkmagenta,0.9065382186909997,12.984242499322368
Gene.138,grey,-0.4308184388715649,0.03572416467649235
Gene.139,black,0.6278308856977897,2.114062594601875
Gene.140,blue,0.8834312478863318,15.321578084524939
Gene.141,blue,0.4866060847444494,1.6783094391098476
Gene.142,blue,0.8869045019408351,31.792621050941612
Gene.143,darkmagenta,0.9019296123093494,0.5533223940989189
Gene.144,grey,0.8994566081582601,0.0009355314407635168
Gene.145,blue,0.9734288875123077,2.0466761563723335
Gene.146,blue,0.8904533906006755,6.588104243750395
Gene.147,darkgreen,0.7015694923294954,1.5910403942189502
Gene.148,blue,0.7466373665783269,3.1514565088795914
Gene.149,grey,-0.17703045688827992,0.02104672222860715
Gene.150,grey,0.9504168292478352,0.07792437188539435
Gene.151,black,0.8672058858278473,2.5143873427946457
Gene.152,blue,0.8900572818596391,5.176277507066425
Gene.153,grey,-0.9278461985694308,0.0075897560228101015
Gene.154,darkmagenta,0.8606822060154936,4.282742697843641
Gene.155,black,0.8575656877748272,6.6229766884176975
Gene.156,blue,0.8369416909647087,10.63332620358283
Gene.157,blue,0.21048552103798693,0.43161138771275565
Gene.158,blue,0.8847854385918897,24.15033915241229
Gene.159,darkmagenta,0.8968156971436801,7.9538301043539335
Gene.160,black,0.6868385741289641,0.45946810518080017
Gene.161,blue,0.8545965368671461,2.451436514024866
Gene.162,grey,-0.2851355083076206,0.001832194038166221
Gene.163,grey,0.8526956018807255,0.0443008621189803
Gene.164,grey,0.8862318077087081,0.13123586177368604
Gene.165,black,0.7120783563335438,1.096364643184634
Gene.166,darkmagenta,0.9249326962388071,1.1498956077665583
Gene.167,darkgreen,0.8717654241552901,19.69328229422687
Gene.168,grey,0.9531146320689285,0.04542964964522541
Gene.169,grey,0.06992734326614838,0.030264315783110163
Gene.170,blue,0.9504464360301019,0.18182489967318746
Gene.171,grey,0.9432429056568457,0.05144450311314179
Gene.172,blue,0.8108372597316609,1.8982493608963908
Gene.173,grey,0.8838677298014064,0.0945169776353959
Gene.174,darkmagenta,0.7350711246089514,1.9189443334929992
Gene.175,darkmagenta,0.9070993425752791,0.29695347820649665
Gene.176,grey,0.9046287000956411,0.008376335413840317
Gene.177,darkmagenta,0.72442288118933,0.842566342999689
Gene.178,black,0.8233469643797858,10.444634717575436
Gene.179,darkmagenta,0.9465289907090508,0.4779358950470586
Gene.180,blue,0.9008477305795364,23.39138782922435
Gene.181,darkgreen,0.542924691590137,0.8314021684638736
Gene.182,darkgreen,0.9734014190735873,16.544300344934964
Gene.183,blue,0.9152638005421364,3.7504255817988246
Gene.184,blue,0.7778684133996406,7.911851738970277
Gene.185,blue,0.9101766560396413,7.326453251640415
Gene.186,darkmagenta,0.8893688389662404,1.1786114024285308
Gene.187,blue,0.8708906454185323,4.402367345754149
Gene.188,blue,0.8425631273078839,17.577729000022703
Gene.189,black,0.7758737104594674,2.587040305795446
Gene.190,grey,-0.08153702951606337,0.3793816189713219
Gene.191,blue,0.9298627456748385,23.61765453991428
Gene.192,black,0.7033882032159599,0.6303115484402102
Gene.193,grey,0.93573984514524,0.045710673066338185
Gene.194,blue,0.14491757378492304,0.16927779310513846
Gene.195,grey,0.9401664033482724,0.024913446945698414
Gene.196,grey,0.9640884529003434,0.19414720055271495
Gene.197,black,0.9182937986690436,11.187064121641066
Gene.198,darkgreen,0.9693232547095556,13.097940080875851
Gene.199,darkgreen,0.9826398076503073,10.46798012795705
Gene.200,darkgreen,0.9170643904847888,0.2479386199005726
Gene.201,darkgreen,0.5588693695376281,0.9068304909516516
Gene.202,darkmagenta,0.6377398014465905,0.3536858314611875
Gene.203,blue,0.9581458578337336,28.89159136690203
Gene.204,black,0.8185818738754761,2.0278681309512514
Gene.205,black,0.8722875966825079,0.8355586701397479
Gene.206,darkgreen,0.8830509550206974,6.398143520593075
Gene.207,blue,0.9862440971847639,2.5109544012978886
Gene.208,darkmagenta,0.9548543790827473,0.13781556750778498
Gene.209,darkmagenta,0.7704992779439117,2.6993359251184117
Gene.210,darkmagenta,0.8449802800925742,3.6851225922044697
Gene.211,darkgreen,0.7669958452422179,3.511274734150859
Gene.212,grey,-0.9217425374374255,0.0011255827934495521
Gene.213,blue,0.8186555106010236,4.401691051865427
Gene.214,blue,0.9747128905774212,0.4745627422522932
Gene.215,blue,0.9320472389565932,25.75493816148496
Gene.216,blue,0.30886295048038304,1.157228527820311
Gene.217,darkmagenta,0.7835180694931192,3.3810790136399422
Gene.218,darkgreen,0.7768964087077513,4.879976603197656
Gene.219,blue,0.4940728231847966,0.17708431643301922
Gene.220,black,0.8754811635415405,0.3039080207646217
Gene.221,darkmagenta,0.4612026856995324,1.820311406296475
Gene.222,black,0.7437980333676463,0.5651996963197016
Gene.223,black,0.8332798361882113,2.784532361557579
Gene.224,black,0.6032029361536522,4.230286301360629
Gene.225,blue,0.7954639657265564,13.01378231168697
Gene.226,darkgreen,0.7478929374255953,2.4712196203100936
Gene.227,grey,-0.9627365890344544,0.0047055543553185305
Gene.228,darkmagenta,0.8644782262810643,1.1874944055623797
Gene.229,darkgreen,0.7837057453017121,8.835103815375742
Gene.230,darkgreen,0.7874119834946846,7.5633664695451275
Gene.231,darkgreen,0.9344143268946261,6.324534401634121
Gene.232,blue,0.18610022697749912,0.3532253435435058
Gene.233,darkgreen,0.9110362517993059,24.634967395957137
Gene.234,grey,-0.8753131488130601,0.06394035432560662
Gene.235,blue,0.8643666735423369,19.175798664060423
Gene.236,darkgreen,0.8005206817886922,6.61183284783405
Gene.237,darkmagenta,0.8386255518403172,1.163157486361613
Gene.238,darkgreen,0.6767876251568749,3.757725056272798
Gene.239,black,0.7075082419971066,6.722997756701256
Gene.240,darkgreen,0.9011087574554658,18.3525777699611
Gene.241,black,0.731920391118913,6.494997030079759
Gene.242,blue,0.8755304774121694,28.62136703959667
Gene.243,blue,0.9243197695792321,8.814500310160371
Gene.244,darkmagenta,0.9535484294033659,18.41784893997584
Gene.245,black,0.8441027662249422,1.6595064790668357
Gene.246,blue,0.890247767608608,0.5339984551921557
Gene.247,darkmagenta,0.886683764959056,16.626243223088732
Gene.248,darkmagenta,0.5402085464379296,2.7709334602804216
Gene.249,blue,0.9515790711288851,9.806378147922912
Gene.250,grey,0.2366389412697142,0.0415215246988295
Gene.251,darkgreen,0.8544982565784713,2.5516354729529165
Gene.252,blue,0.3833405023840055,0.36357171265620447
Gene.253,blue,0.9702988810664148,13.192789664941353
Gene.254,blue,0.9894890317971098,3.0281306629210807
Gene.255,blue,0.920568816973946,29.231490739849978
Gene.256,darkgreen,0.9130690794891558,6.021834607063146
Gene.257,black,0.5911875689075645,0.29293191057158
Gene.258,blue,0.8973310645613524,1.9740769466850008
Gene.259,blue,0.9048131348327879,13.392103897564436
Gene.260,darkmagenta,0.8009778777334927,5.140617407275768
Gene.261,darkmagenta,0.8447289165712324,2.65221920528299
Gene.262,darkmagenta,0.8149461971825948,11.809730170792362
Gene.263,black,0.835402803703989,10.380616773736199
Gene.264,grey,0.8860171254930941,0.014836065510633952
Gene.265,darkolivegreen,0.849049972623195,0.932373727577024
Gene.266,darkmagenta,0.8851811770347109,6.008678389755321
Gene.267,darkgreen,0.9177478024635055,14.860900609624565
Gene.268,blue,0.10093921503059804,0.09959000513854134
Gene.269,darkgreen,0.7158949075148526,1.0551373069475263
Gene.270,darkmagenta,0.8536552467776648,2.439025156849682
